content,content_processed
yeah sure,yeah sure
makes sense,make sense
yeah,yeah
yeah,yeah
decide devices received results,decide 5 device just receive result
well decided based discussion last week,well decide base discussion last week
went mostly consultant recommendations thikn,go mostly consultant 's recommendation thikn
think,think
also made sure different,also just make sure different
choose devices,choose device
could test many different approaches possible get best design,could test many different approach possible get best design
chose met requirements consultants requests,choose meet requirement consultant request
yeah remember particularly wanted test effects process attributes steric hinderance seemed favorite,yeah remember particularly want test effect process attribute steric hindrance seem favorite
yeah agree,yeah agree
yes,yes
sure,sure
yes,yes
yeah,yeah
yes pretty much impossible completely satisfy consultants,yes pretty much impossible completely satisfy consultant
soon switching teams sharing design experience new teams plan bring group,soon twitch team share design experience new team plan bring group
results experiment,result experiment
well data shows range designs polyrenalate compared possible materials,well data show range design polyrenalate compare possible material
order compare,order compare
knowledge prnlt design parameters,knowledge prnlt design parameter
knowledge prnlt people within group might familiar,knowledge print people not_within group might not_be familiar
yep,yep
yee,yee
yeah,yeah
yeah,yeah
yes,yes
yeah,yeah
okay everyone concludes discussion,okay everyone conclude discussion
thanks participating team meeting forget submit alex,thanks participate team meeting not_forget submit write alex
cool anything else today,cool anything else today
ok awesome,ok awesome
reminder last time meeting current team next time new design teams may new design advisor new team glad opportunity work though,just reminder last time meet current team next time new design team may new design adviser new team glad opportunity work though
ok thanks darren,ok thanks darren
thanks,thanks
ill miss guys,ill miss gun
thank darren,thank darren
thanks lot darren,thanks lot darren
thanks,thanks
awesome getting work,awesome get work
im getting team prnlt tattooed back,get team prnlt tattooed back
never forget,never_forget
im game,game
hey guys,hey gun
alex resubmit,alex submit
someone help,someone help
dialysis entry last weeks,dialysis entry last week
last weeks alex sent back know resubmit see,last week alex send back not_know submit not_see
know needs sent back,know need send back
option redo send back,no_option red send back
email bodnar ask going class probably dates messed,email bodnar ask go class probably just date miss
okay class ask ta,okay class ask ta
back undergrad interned mechanical engineering company designed exoskeletons rescue workers working different project put example summary used previous project shared space alex pretty similar boss internship welcome use template write note language length response,back undergrad internet mechanical engineering company design exoskeleton rescue worker work different project put example summary use previous project shared space alex pretty similar bos internship welcome use temple write note language length response
please pay close attention citation methods used example know alex stickler following correct citation methods,please pay close attention citation method use example know alex stickler follow correct citation method
darren mean background research notebook submitted today,darren mean background research notebook submit 2 50 today
posted another notebook entry old internship shared space internship studied control sensors power sources looking surfactants nevertheless welcome use example model response,post another notebook entry old internship shared space internship study control sensory power source look surfactant nevertheless welcome use example model response
hey resubmitted notebook able access new task soon,hey submit notebook able access new task soon
time dialysis works since assignment opened late,time dialysis work since assignment open late
thanks,thanks
team discussion thing work,team discussion thing work
sounds good,sound good
surely ready,surely ready
well good talking,well good talk
hey,hey
hello darren,hello darren
hi,hi
everyone choose effective surfactant,everyone choose effective surfactant
selected steric hindering surfactant,select steric hindering surfactant
think steric hindrance surfactant would best choice,think steric hindrance surfactant would best choice
steric hindering,steric hindering
, 
well agreed steric hindering,well agree steric hindering
well looks like might easy final decision,well look like might easy final decision
ok cool wait email,ok cool just wait email
agree steric hindering next step,agree steric hinder next step
chose biological high marketability high cost steric close second think thats good decision,choose biological high marketability high cost steric close second think good decision
clue,no_clue
one surfactant performed well every attribute,one surfactant perform well every attribute
negative charge surfactant middle road every category steric hindering surfactant highest average score ranking calculated based least desireable,negative charge surfactant middle road every category steric hindering surfactant high average score 5 banking calculate base least desirable
agree,agree
yeah one strengths weaknesses made prioritizing categories pain,yeah one strength weakness make prioritize category pain
yes steric hindering performed best overall even though wasnt best every single category,yes steric hindering perform best overall even though not_the best every single category
surfactant pretty much worst across board,no_surfactant pretty much bad across board
surfactant graphs helpful making final surfactant choice,surfactant graph helpful make final surfactant choice
thought helpful actual numbered table helpful colored diagram,think helpful actual number table helpful colored diagram
graphed really helpful see rankings,graph really helpful see ranking
thought helpful completely necessary table displayed information quite easy read,think helpful not_completely necessary table display same information just not_quite easy read
ya whatever surfactant highest number means best performance means graph helpful,ya whatever surfactant high number mean best performance overall mean graph helpful
liked graph multidimensional analysis convenient chart like kelly said,like graph multidimensional analysis convenient chart like kelly say
value attributes others choosing best surfactant,value attribute others choose best surfactant
thought reliability reactivity important effects end user want customer uncomfortable danger,think reliability activity important effect end user not_want customer uncomfortable danger
personally used marketability first factor especially since steric hindrance biological surfactant much marketable others looked reliability blood cell reactivity,personally use marketability first factor especially since steric hindrance biological surfactant much marketable others look reliability blood cell activity
health customer reliability take prefenence,health customer reliability take preference
ya agreed,agreed
thought marketability really important also reliability know last need replaced,think marketability really important also reliability know last not_need replace
rt,rt
reliability far important duh,reliability far important due
rt fav,rt far
yeah think ca used going break work,yeah think not_be use go break not_work
also affects marketability everything hinges works,also affect marketability everything hinge work
agree,agree
would say one explicitly multifaceted product many things taken consideration ca lasting product going sell going comfortable customer,would say not_one explicitly multifaceted product many thing take consideration not_just lasting product not_going sell not_going comfortable customer
yes,yes
yes,yes
hell yes,hell yes
sir yes sir,sir yes sir
aye aye,aye aye
team next step,team 's next step
optimization steric hindering surfactant,optimization steric hindering surfactant
guess would looking effectively mass produce steric hindering surfactant dialyzers,guess would look effectively mass produce steric hindering surfactant dialyzer
meant,mean
oh look notebooks due,oh look notebook due __
point also solid probably improve initial design produce better results,point also solid probably improve initial design produce good result
need improve design filtration membrane,need improve design infiltration membrane
research,research
used clinical practice patients done yet,use clinical practice patient yet
yes,yes
yes darren would ever much agree,yes darren would ever much agree
okay everyone concludes discussion,okay everyone conclude discussion
thanks participating team meeting forget submit alex,thanks participate team meeting not_forget submit write alex
posting quick meeting mechanical engineering internship shared space see need spend much time need provide necessary information based meetings alex know like see something like well,post quick write meeting mechanical engineering internship shared space see not_need spend much time need provide necessary information base meeting alex know would like see something like well
thank,thank
hey everyone posted mechanical engineering requirements time intern find shared space,hey everyone just post write mechanical engineering consultant requirement time inter find write shared space
thank sir,thank sir
nephrotex internal consultants experts fields,nephrotex internal consultant expert field
let know questions requirements membrane design,let know question requirement membrane design
probably want check staff pages information,probably want check staff page information
internal consultants recommending using carbon nanotubes make product marketable tested membranes use carbon nanotubes looked like use cellulose none surfactants made carbon nanotubes,internal consultant recommend use carbon nanotube make product marketable tested membrane use carbon nanotube look like use cellulose none_of surfactant make carbon nanotube
think pick michelle proctor,think pick michelle proctor
take wayne anderson,take wayne anderson
take padma rao,take parma rao
michelle proctor,michelle proctor
take padma rao,take parma rao
handle alan duchamp,handle alan duchamp
rudy sorry missed meeting today listened talk new nuclear reactor design,rudy sorry miss meeting today listen talk new nuclear reactor design
okay talking today,okay talk today
sup guys,sup gun
design really like,design really like
would say mine fantastic look haha,would not_say mine fantastic look hata
hydrophilic vapor pmma looks good lot people picked steric hindering pmma vapor,hydrophilic vapor pmma 4 look good lot people pick steric hindering pmma vapor 1
lot us made one vapor hydrophilic want use one,lot us make one vapor hydrophilic 4 0 want use one
sounds like plan,sound like plan
going say steric vapor use keen high cnts since seem much effect probably expensive,go say steric vapor 1 use just not_keen high cnts since not_seem much effect probably expensive
makes sense fine adding one,make sense fine add one
anyone like biological surfactant since whole lot blood cell reactivity important factor,anyone like biological surfactant since not_do whole lot blood cell activity important factor
ya probably toss biological expensive,probably toss biological expensive
want biological could try using dry jet wet production reduce costs made one cnt might bit high,want biological could try use dry jet wet production reduce cost make one 4 0 cnt might bit high
maybe cnts keep cnt costs low,maybe 1 cnts keep cnt cost low 0 5
think try keep,think try keep 1
retweet,major
yeah go make another one want biological one,yeah go make another one want biological one 0 5
think make another prototype one go sounds good help flux little marketability,not_think make another prototype one go 0 5 sound good help flux little marketability
yeah sounds good dont one already think need make,yeah sound good not_have one already think need make
okay biological one wet prototype,okay biological one 0 5 dry jet wet prototype 6
combos guys liked see couple dry hydrophilic,comb gun liked see couple dry hydrophilic 1
forget attach team new batch notebook,not_forget attach team 's new batch notebook
alex upload design specifications server submit justifications member team needs attach submit batch testing first team member attaches submits team batch rest team members option attach batch,alex unload design specification server submit justification member team need attach submit same batch test first team member attache submits team 's batch rest team member only option attach same batch
would fine dry hydrophilic think cheapest model remember correctly would put us,would fine dry hydrophilic 1 think cheap model remember correctly would put us 4
thinking great anyone else opinions,think great anyone else opinion
many far,many far
,4
four include vapor hydro really see point using hydrophilic vapor process,four include vapor hydra 4 not_really see point use hydrophilic vapor process
thought behind one maximizing reliability,thought behind one minimize reliability
seems like bit overkill especially cnts since really make much difference beyond would really like done class whatever guys think,just seem like bit overall especially 4 cnts since really not_make much difference beyond 1 would really just like class whatever gun think
amen,amen
add vapor hydrophilic list test higher cnt actually anything,add vapor hydrophilic 1 0 list test high cnt actually anything
great summary,great summary
sorry guys tried hit,sorry gun try hit shift enter
vapor steric vapor hydro dry bio dry hydro vapor hydro,vapor steric 1 vapor hydra 4 dry bio 0 5 dry hydra 1 vapor hydra 1
ok made batch everyone see,ok make batch everyone see
yeah,yeah
yep,yep
ok cool everyone agree,ok cool everyone agree
fine choices,fine choice
yeah,yeah
yup get work engineering notebooks exactly representative would experience industry go team,get work engineering notebook exactly representative would experience industry go team
looks good,looks good
get batch made kelly,get batch make kelly
prototypes feeds,prototype feeds
yep,yep
ahh probably ones without word prototype front dumb,ahh probably one without word prototype front dumb
called choice prototypes batches,call choice 5 prototype batch
received lab results internship analyze write findings remember difficult first couple times posted one old lab shared space reference remember analysis include important information concise alex want able find key points analysis quickly,receive lab result internship analyze write finding remember difficult first couple time post one old lab write ups shared space reference just remember analysis include important information concise well organize alex want able find key point analysis quickly
team received batch results successful trial,team receive batch result successful trial
better believe,good believe
models definitely underperformed,model definitely underperform
thats point testing guess yes successful,point test guess yes successful
also well saw,also well saw
thought expensive one actually pretty great vapor steric,think expensive one actually pretty great vapor steric 1
discover design problem,discover design problem
lot prototypes cheaper expected perhaps improve still keep cost low enough,lot prototype cheap expect perhaps improve still keep cost low enough
know different design choices affect properties device,know not_before different design choice affect property device
definitely prototypes really low blood cell reactivity,definitely prototype really low blood cell activity
yeah thinking reactivities would pretty high pretty respectable bad suggesting biological surfactant guys,yeah think activity would pretty high pretty respectable bad suggest biological surfactant gun
blood cell reactivity great feel like could improve reliability zane said pretty cheap,blood cell activity great feel like could improve reliability zane say pretty cheap
yeah really surprised well various surfactants terms blood cell reactivity,yeah really surprised well various surfactant term blood cell activity
cost didnt change much even one higher percent nanotube actually higher percent nanotube hardly changed anything,cost not_change much even one high percent nanotube actually high percent nanotube hardly change anything
yeah think big surprises good blood cell reactivity low cost especially respect cnts,yeah think big surprise good blood cell activity low cost especially respect cnts
yeah really surprised especially since marketability value biggest increase increased nanotube percentage,yeah really surprise especially since marketability value big increase increase nanotube percentage
sounds right,sound right
yes sounds right,yes sound right
yeah,yeah
aye aye,aye aye
yeah,yeah
decide devices received results,decide 5 device just receive result
tried go across board looking different factors would effect different parameters final product,try go across board look different factor would effect different parameter final product
weighing different attributes deciding priorities lie,weigh different attribute decide priority lie
yeah think end put lot focus reliability prototypes,yeah think end put lot focus reliability prototype
one problem process let us aware need adhering internal consultants parameters different need make sure take account along parameters deciding final prototypes,one problem process let us aware need adhere internal consultant parameter different need make sure take account along parameter decide final prototype
yes agree,yes agree
yeah agree guys thought prototype number four pretty good job across board honest,yeah agree gun think prototype number four pretty good job across board honest
yeah surprised well one,yeah surprised well one
soon switching teams sharing design experience new teams plan bring group,soon twitch team share design experience new team plan bring group
well one thing sure mention carbon nanotubes seem large impact perfomance pmma dialyzers,well one thing sure mention carbon nanotube not_seem large impact performance pmma dialyzer
joy optimism sharing wonderful people also perhaps insight different design parameters effects final product agree mitchell,joy optimism share wonderful people also perhaps insight different design parameter effect final product agree mitchell
think important component surfactant used,think important component surfactant use
new team never plan would share pros cons prototype design match internal consultants,new team never_the plan would share pro con prototype design match internal consultant
ideas areas device important make compromises areas make larger improvements important areas,idea area device important make compromise area make large improvement important area
miss guys,miss gun '
knowledge parameters affect final result,knowledge parameter affect final result
darren still switch teams,darren still switch team
sure,not_sure
yes,yes
yeah,yeah
agreed,agree
well time meeting,well time meeting
good discussion today forget complete submit notebook,good discussion today not_forget complete submit notebook
reminder last time meeting current team next time new design teams may new design advisor new team glad opportunity work though,just reminder last time meet current team next time new design team may new design adviser new team glad opportunity work though
miss,miss
,'
thanks darren,thanks darren
thank everybody thank much,thank everybody thank much
pleasure knowing without actually knowing,pleasure know without actually know
hi,hi
whats finn,finn
hello robert,hello robert
yea kinda signed today,yea kind just sign today
back undergrad interned mechanical engineering company designed exoskeletons rescue workers working different project put example summary used previous project shared space alex pretty similar boss internship welcome use template write note language length response,back undergrad internet mechanical engineering company design exoskeleton rescue worker work different project put example summary use previous project shared space alex pretty similar bos internship welcome use temple write note language length response
please pay close attention citation methods used example know alex stickler following correct citation methods,please pay close attention citation method use example know alex stickler follow correct citation method
posted another notebook entry old internship shared space internship studied control sensors power sources looking surfactants nevertheless welcome use example model response,post another notebook entry old internship shared space internship study control sensory power source look surfactant nevertheless welcome use example model response
submitted notebook background research expect able next task,submit notebook background research expect able next task
wish windows bigger,wish window big
since interpolate values reliability use value,since 75 11 8 25 interpolate value reliability use value 8 3
anyone know edit graphs,anyone know edit graph
says flux actually mean data ends flux time graph,say flux time 0 actually mean time 10 k data end flux v time graph
emails sent soon,email send soon
alex said mine submitted last night good email yet deliverable list still says unsubmitted,alex say mine submit last night good email yet deliverance list still say submit
submitted resubmitted mine got email complete also says closed deliverable list,submit submit mine get email not_complete also say close deliverance list
cool,cool
start discussion,start discussion
id,id
ready begin,ready begin
ready,ready
ok everyone start,ok everyone start
meeting start time pm,meet start time 1 07 pm
based surfactant graph surfactants perform relative one another,base surfactant graph surfactant perform relative one another
surfactant pretty weak,no_surfactant pretty weak
seems though surfactants advantages disadvantages,seem though surfactant advantage disadvantage
even though cost effective obviously provide advantages,even though cost effective obviously not_provide advantage
huge fan biological since,not_a huge fan biological since
agree kenny,agree kenny
thanks joseph,thanks joseph
yeah agree biological surfactant best choice,yeah agree biological surfactant not_the best choice
agreed,agree
big fan steric hindering,big fan steric hindering
thought negative charge best provided good function real advantages disadvantages average stuff,think negative charge best provide good function not_having real advantage disadvantage average stuff
thing like negative charge best marketing,only thing not_like negative charge only 3rd best marketing
agree andrew,agree andrew
also agree andrew,also agree andrew
, 
good around profile,good around profile
went hydrophilic due high reliability however marketable,go hydrophilic due high reliability however not_very marketable
pretty average,pretty average
hydrophilic didnt seem bad second choice others,hydrophilic not_seem bad second choice others
dont think marketing prioritized tho means surfactant commercially succesful,not_think marketing prioritize though just mean surfactant commercial successful
one surfactant obviously best choice,one surfactant obviously best choice
surfactants advantages disadvantages,no_all surfactant advantage disadvantage
negative charge sue,negative charge sue
agree andrew,agree andrew
think obvious best choice,not_think obvious best choice
negative charge definitely seemed like top choice,negative charge definitely seem like top choice
, 
looking data negative charge better average,look data negative charge good average
correct,correct
agree negative charge top choice hugely better others,agree negative charge top choice not_hugely well others
correct,correct
dont believe choice best though negative choice seems greatest balance,not_believe choice best though negative choice seem great balance
, 
darren u good bro surfactant definitely isnt top choice,darren good bro no_surfactant definitely not_top choice
kenny think darren meant one surfactant clear choice,kenny think darren mean no_one surfactant clear choice
rt,rt
choose best surfactant,choose best surfactant
went heart told,go heart tell
looked nice balance attributes,just look nice balance attribute
like kenny way better,like kenny 's way well
chose best surfactant viewing information given us,choose best surfactant view information give us
went hydrophilic reliability honest see negative charge would best across boards,go hydrophilic reliability honest see negative charge would best across board
thats way,way
yes advantages disadvantages got ta weighed,yes advantage disadvantage get weigh
,yea
picked negative charge extremely bad attribute,pick negative charge not_have extremely bad attribute
team next step,team 's next step
negative charge performed average across attributes,negative charge perform average across attribute
entire assignment comes weighing advantages disadvantages,entire assignment come weigh advantage disadvantage
agreed surfactant move along design process,agree surfactant move along design process
next step picking one surfactant,next step pick one surfactant
team next step develop negative charge surfactant,team 's next step develop negative charge surfactant
, 
, 
need improve design filtration membrane,need improve design infiltration membrane
need develop brainstorm negative charge membrane method filtration,need develop brainstorm negative charge membrane method infiltration
need make marketable,need make marketable
need make reliable,need make reliable
need develop,need develop
,rt
,rt fav
qt,qt
got codes amazon use get materials lower cost,get code amazon use get material low cost
definitely need make reliable,definitely need make reliable
yeah reliable better,yeah reliable good
groupon,groupon
market research determine material use make reliable,market research determine material use make reliable
would use google research make reliable,would use google research make reliable
definitely wikipedia tho,definitely not_wikipedia though
post poll potential customers myspace profiles,post poll potential customer ' myspace profile
yes,yes
yes right,yes right
dude myspace rn get google plus game,dude space not_in right get google plus game
well time meeting,well time meeting
good discussion today forget complete submit notebook,good discussion today not_forget complete submit notebook
thanks darren,thanks darren
b efore,b
ny,ny
e ngineer,e engineer
peace guerrero,peace guerrero
outcha,dutch
posting quick meeting mechanical engineering internship shared space see need spend much time need provide necessary information based meetings alex know like see something like well,post quick write meeting mechanical engineering internship shared space see not_need spend much time need provide necessary information base meeting alex know would like see something like well
meche,peche
end time pm,end time 1 27 pm
hey everyone posted mechanical engineering requirements time intern find shared space,hey everyone just post write mechanical engineering consultant requirement time inter find write shared space
thanks dude,thanks due
nephrotex internal consultants experts fields,nephrotex internal consultant expert field
let know questions requirements membrane design,let know question requirement membrane design
probably want check staff pages information,probably want check staff page information
hey guys need investigate different aspects psf,hey gun need investigate different aspect psf
pulling reports right,pull report right
need focus one internal consultants requirements last activity last week,need focus one internal consultant ' requirement last activity last week
padma,padma 's
everybody pick one go read reports consultant requirements mind,everybody pick one go read report consultant 's requirement mind
list consultants,list consultant
email alex sent last week,email alex send last week
review alan information,review alan 's information
review rudy,review rudy 's
padma,padma 's
robert padma,robert parma
joe already robert,joe 's already robert
left,left
michelle wayne,michelle wayne
oh sorry see,oh sorry not_see
michelle wayne left,michelle wayne leave
michelle,michelle 's
ok got wayne den,ok get wayne den
effect manufactoring process looking device specifications resource correct,effect manufacture process look device specification resource correct
, 
yo darren report psf nothing effect cnt blood cell reactivity marketability,yo darren report psf nothing effect cnt blood cell activity marketability
like u want u want coach,like want want coach
yo coach,yo coach
say kenny,just say kenny
lean wit rock wit,just lean wit rock wit
wait,wait
ill lean doubtful ill rock tho,ill lean doubtful ill rock though
really nothing resources look repots online say nothing,really nothing resource look report online just say nothing
managed find something given material thanks,manage find something give material thanks
darren u came clutch right,darren come clutch right
lol,laughing loud
everyone share stuff asap please,everyone share stuff soon possible please
sorry share stuff,sorry share stuff
share got approved alex,share get approve alex
yo darren wondering u delete first prototype party made new one called party,yo darren just wonder delete first prototype party make new one call party 2
darren,3 darren
ok,ok
need pick prototypes,need pick 5 prototype
wan na choose one design group member,want choose one design group member
like idea,like idea
also like idea,also like idea
also need provide justification one pick,also need provide justification one pick
exact thing previous assignment,exact same thing previous assignment
let choose one member share notebooks copy justifications,let us choose one member share notebook copy justification
okay lets start andrew pick first design,okay let us start andrew pick first design
im going fifth prototype shared notebook look,go fifth prototype share notebook look
sharing mine,share mine
shared mine,share mine
shared mine well,shared mine well
whos next,next
ok shared mine choose party design,ok share mine choose party 2 design
go last got computer reading email,go last just get computer read email
ok kenny,ok kenny 's party2
choosing consultant picking one general,choose consultant just pick one general
kenny prototype shared notebook entry,kenny prototype share notebook entry
, 
second,second
ok whos next,ok next
pick one one sec,pick one one sec
material psf process vapor deposition polymerization surfactant biological nanotube justification design aims maximize flux blood cell reactivity manufacturing process vapor deposition polymerization maximizes flux comparison manufacturing options phase inversion wet printing addition biological surfactant best blood cell reactivity surfactant choices finally carbon nanotube prototype also aids maximizing flux,material psf process vapor deposition polymerization surfactant biological nanotube 2 justification design aim minimize flux blood cell activity manufacturing process vapor deposition polymerization maximize flux comparison manufacturing option phase inversion dry jet wet printing addition biological surfactant best blood cell activity surfactant choice finally 2 carbon nanotube prototype also aid minimize flux
copy paste sorry change first sentence,copy paste sorry change first sentence
ugh one gon na,ugh one go
pick mine,pick mine
joe prototype,joe prototype
number,number 1
k,k
change first sentence reference padma,just change first sentence reference parma
got,get
numbers match,number match
pick prototype,pick th prototype
robert share notebook entry prototypes last week,robert share notebook entry prototype last week
, 
dont see,not_see
individuals design prototypes,individual design 5 prototype
going padma,go proto2 padma
shared earlier says shared,share earlier say share
robert,robert 's
design specifications material psf surfactant negative charge manufacturing process wet printing cnt justification psf chosen batch prototypes cnt chosen gave maximum flux higest reliability negative charge surfactant chosen since decided group best surfactant wet printing chosen cost effective option,design specifications material psf surfactant negative charge manufacturing process dry jet wet printing cnt 2 justification psf choose batch prototype cnt choose 2 give maximum flux high reliability negative charge surfactant choose since decide group best surfactant dry jet wet printing choose cost effective option
forget attach team new batch notebook,not_forget attach team 's new batch notebook
alex upload design specifications server submit justifications member team needs attach submit batch testing first team member attaches submits team batch rest team members option attach batch,alex unload design specification server submit justification member team need attach submit same batch test first team member attache submits team 's batch rest team member only option attach same batch
good robert,good robert
design specifications psf steric hindrance process vapor justification psf chosen batch prototypes cnt chosen gave maximum flux higest reliability steric hindrance surfactant chosen since decided group valible sencond choice surfactant vapor manufacturing process chosen longest time performance,design specifications material psf surfactant steric hindrance manufacturing process vapor cnt 2 0 justification psf choose batch prototype cnt choose 2 give maximum flux high reliability steric hindrance surfactant choose since decide group valible second choice surfactant vapor manufacturing process choose long time 75 performance
wait let get straight copying one design specifications justifications selected pasting notebook attaching,wait let get straight just copy one design specification justification select just paste notebook attach
make batch design specifications justifications least think thats,make batch design specification no_justifications least think
,right
notebook wants us justify,notebook want us justify
going put justifications words,go put justification word
feel like change justifications little keep person words originally came idea,feel like change justification little keep person 's word originally come idea
name design joe padma,name design joe padma 1
wait kidding,wait just bidding
joe padma,joe padma 1
one asterisk,one asterisk
name design robert,name design robert
finn whats ur prototype ur notebook,finn prototype notebook
padma,proto2 padma
prototype,prototype 2
ok thansk,ok thansk
hey darren know attach batch notebooks seeing option anywhere,hey darren know attach batch notebook not_seeing option anywhere
mine,mine
let check second,let check second
attach batch notebook submission,attach batch notebook submission
able clicking paper clip icon top workbook page let know issues,able click paper clip icon top workbook page let know issue
doesnt seem showing,not_seem show
showing either,not_showing either
reload page,reload page
guys prototypes choice padma,guys prototype choice proto2 padma
save notebook first though,save notebook first though
everything correct shared notebook though,everything correct shared notebook though
andrew one,andrew one
drew,drew 5
anyone else able attach,anyone else able attach
gives option attach batch,give option attach batch 1
choosing batch,choose batch 1
received lab results internship analyze write findings remember difficult first couple times posted one old lab shared space reference remember analysis include important information concise alex want able find key points analysis quickly,receive lab result internship analyze write finding remember difficult first couple time post one old lab write ups shared space reference just remember analysis include important information concise well organize alex want able find key point analysis quickly
andrews prototype came back na categories looking results waht,andrew prototype come back na category look result
darren gim something chew,darren give something chew
darrrrren results came whats deal,darrrrren result come n deal
hey darren,hey darren
sup darren,sup darren
hello,hello
wait min two start see joseph joins,wait min two start see joseph join
yea sure,yea sure
got ta quick facebooking anyways,get quick facebooking anyway
team received batch results successful trial,team receive batch result successful trial
feel though successful trial unless look design came back results equaling thats right,feel though successful trial unless look design come back result equal n just not_right
yea overall pretty succesful trial except andrews lol,yea overall pretty successful trial except andrew laughing loud
yeah agree,yeah agree
yeah marketability similar across board though good really looking everything results similar,yeah marketability similar across board though good really look everything result similar
discover design problem,discover design problem
sure happened system,not_sure happen system
joe boss design performed well categories two categories still seem important flux reliability,joe 's bos design perform well category two category still seem important flux reliability
btw start time like,way start time like 1 02
yea joe prototype absolute,yea joe 's prototype absolute
agree,agree
great marketability flux reactivity,great marketability flux activity
problem joe reliability lower,only problem joe 's reliability low
overall best,overall just best
aw guys,aw gun
cost slightly higher bad,cost slightly high not_bad
soooo amazing,just soooo amaze
costs seemed really low model except mine didnt cost na,cost seem really low model except mine not_have cost na
lol,laughing loud
haha andrew happened,hata andrew happen
clue,no_clue
maybe work since nanotube high thats major difference others,maybe not_work since nanotube high only major difference others
yeah probably right,yeah probably right
thats thinking cost might high,think cost might high
totally agree u darren,totally agree darren
would agree darren,would agree darren
, 
darren spitting mad troof,darren spit mad troof
yeah agree darren,yeah agree darren
u make good point darren,make good point darren
decide devices received results,decide 5 device just receive result
created thought would best design,create think would best design
saw individually personal best devices unique,saw individually personal best device unique
best categories,best category
batch results put best designs together could see clear winner,batch result put best design together could see clear winner
role requests internal consultants play deciding prototypes test,role request internal consultant play decide prototypes test
based everything,base everything
helped us pick attributes focus,help us pick attribute focus
everyone best prototype based internal consultants requests,everyone best prototype base internal consultant ' request
yea,yea
internal consultants guided us journey sucess,internal consultant guide us journey success
could,no_we could not
one prototype nah,one prototype ah
joe design met standards,joe 's design meet standard
mine didnt,mine not
agree,agree
absolutely,absolutely
met required standards preffered standards,meet required standard not_all preferred standard
yea,yea
challenging meet every preferred standard cost would greatly increase,would challenge meet every preferred standard cost would greatly increase
turn would probably decrease marketability,turn would probably decrease marketability
would challenging,would challenge
yea agree,yea agree
wait guys going robert,wait gun not_we go robert 's
seems like design two sides financial science,seem like design two side financial science
thing flux still meets preferred flux padma michelle,only thing flux 19 17 still meet preferred flux parma michelle
soon switching teams sharing design experience new teams plan bring group,soon twitch team share design experience new team plan bring group
one becomes favorable one becomes less favorable unless youre shady dealings,one become favorable one become less favorable unless shady dealing
mean mine cheaper roberts slightly less marketable,mean mine cheap robert slightly less marketable
robert lower flux higher reactivty,robert low flux high reactive
got ta say mine sucks ass,get say mine suck ass
bring knowledge unique material group important things want discuss material,bring knowledge unique material group important thing want discuss material
oh higher reactivity bad,oh high activity bad
yea,yea
oh,oh
well,well
ur design bomb,design bomb
, 
oh okay cool,oh okay cool
tell attributes make psf good product,tell attribute make psf good product
correct,correct
yes,yes
darren yes,darren yes
yes,yes 111
time meeting,time meeting
essential figure best best,essential figure best best
thanks sharing please remember complete meeting submit alex,thanks share please remember complete write meeting submit alex
end time,end time 1 20
reminder last time meeting current team next time new design teams may new design advisor new team glad opportunity work though,just reminder last time meet current team next time new design team may new design adviser new team glad opportunity work though
ayee,ayee
thanks help,thanks help
like team,like team
ill always love guys,ill always love gun
miss kenny,miss kenny
, 
else yayz,every else yayz
shedding tears rn,shed tear right
ill miss u darren,ill miss darren 3
awwwwww darren,awwwwww darren 8
youre man darren,man darren
forgot put end time meeting notebook today darren could go ahead great,forget put end time meeting notebook today darren could go ahead would great
edit witnesses,edit witness
witnessed,witness
oh didnt realize could got darren,oh not_realize could get darren
peace,peace dawn
back undergrad interned mechanical engineering company designed exoskeletons rescue workers working different project put example summary used previous project shared space alex pretty similar boss internship welcome use template write note language length response,back undergrad internet mechanical engineering company design exoskeleton rescue worker work different project put example summary use previous project shared space alex pretty similar bos internship welcome use temple write note language length response
please pay close attention citation methods used example know alex stickler following correct citation methods,please pay close attention citation method use example know alex stickler follow correct citation method
work graphing assignment,work graphing assignment
posted another notebook entry old internship shared space internship studied control sensors power sources looking surfactants nevertheless welcome use example model response,post another notebook entry old internship shared space internship study control sensory power source look surfactant nevertheless welcome use example model response
attach graph notebook entry,attach graph notebook entry
hey everyone surfactant think would best,hey everyone surfactant think would best
decided negative charge surfactant,decide negative charge surfactant
thought negative charge surfactant best somewhere middle road,think negative charge surfactant best somewhere middle road
choose steric hindering surfactant,choose steric hindering surfactant
one surfactant obviously best choice,one surfactant obviously best choice
think,not_think
also recommended steric hindering,also recommend steric hindering
pros cons,pro con
yes,yes
true,TRUE
recommended hydrophillic,recommend hydrophillic
weighed think steric hinderance pretty obvious,weigh think steric hindrance pretty obvious
darren would recommend,darren would recommend
come rational conclusion pros cons like les said,come rational conclusion pro con just like les say
choose aspect important choose surfactant based,choose aspect important choose surfactant base
one criteria found really important take consideration,one criterion find really important take consideration cost '
well depends important company low cost reliability reactivity knew better important company could decide best,well depend important company low cost reliability activity know good important company could decide best
biological surfactant performed best expensive,biological surfactant perform best expensive
one surfactant performed well every attribute,one surfactant perform well every attribute
negative charge best middle road option opinion,negative charge best middle road option opinion
true,TRUE
low reliability believe important customers,low reliability believe important customer
yes reliability important opinion followed marketability,yes reliability important opinion follow marketability
